scenario,year,can_production_mwh,curtailment_cnf_mwh,curtailment_ene_mwh,curtailment_mwh,curtailment_pct,curtailment_cnf_pct,curtailment_ene_pct
low,2026,438011.4314698464,0.0,97975.62300758308,97975.62300758308,0.2236827990511657,0.0,0.2236827990511657
low,2027,547148.7417488465,0.0,119553.20495159668,119553.20495159668,0.21850220210590246,0.0,0.21850220210590246
low,2028,548705.8359271183,0.0,67969.33359227469,67969.33359227469,0.12387208070683378,0.0,0.12387208070683378
low,2029,547148.7417488465,0.0,56562.56959129835,56562.56959129835,0.10337695269207406,0.0,0.10337695269207406
low,2030,547148.7417488465,0.0,44245.805975666735,44245.805975666735,0.08086613858279976,0.0,0.08086613858279976
low,2031,547148.7417488465,10913.54100445053,26569.329961192998,37482.870965643524,0.06850581588808441,0.019946205065861394,0.04855961082222303
low,2032,548705.8359271183,8763.093305555796,25719.54903008594,34482.642335641736,0.06284358590314298,0.015970475857522592,0.04687311004562038
low,2033,547148.7417488465,8589.552759700384,23231.415230782415,31820.967990482797,0.05815780164050772,0.01569875265041399,0.04245904899009373
low,2034,547148.7417488465,8765.820460301591,22114.52686624124,30880.347326542833,0.056438670091500644,0.016020909473872642,0.040417760617628
low,2035,547148.7417488465,9089.308366854206,19761.222150330548,28850.530517184754,0.05272886203661927,0.016612134275959648,0.03611672776065963
central,2026,438011.4314698464,0.0,97992.32043605889,97992.32043605889,0.2237209200390581,0.0,0.2237209200390581
central,2027,547148.7417488464,0.0,119563.45682737479,119563.45682737479,0.21852093901416136,0.0,0.21852093901416136
central,2028,548705.8359271183,0.0,83748.73165952961,83748.73165952961,0.15262956246496623,0.0,0.15262956246496623
central,2029,547148.7417488465,0.0,78788.45291232134,78788.45291232134,0.14399823466739692,0.0,0.14399823466739692
central,2030,547148.7417488465,0.0,69897.04316876602,69897.04316876602,0.12774779111317106,0.0,0.12774779111317106
central,2031,547148.7417488465,2354.54972402674,52652.395965841,55006.94568986775,0.1005338064272058,0.004303308304248155,0.09623049812295763
central,2032,548705.8359271183,1903.008117858583,54885.07585469097,56788.083972549546,0.10349458718002848,0.00346817546535326,0.10002641171467523
central,2033,547148.7417488466,2315.635654093365,55747.60778838489,58063.24344247827,0.10611966913583909,0.004232186748144425,0.10188748238769464
central,2034,547148.7417488465,1924.7022096953708,60228.89185211558,62153.59406181094,0.11359542537400338,0.003517694664787975,0.11007773070921542
central,2035,547148.7417488465,1002.4558661198959,62705.27675926159,63707.73262538148,0.11643585695135301,0.001832145063362031,0.114603711887991
high,2026,488321.8466250293,0.0,153454.57163354682,153454.57163354682,0.31424883546400273,0.0,0.31424883546400273
high,2027,609996.2877880293,0.0,188642.42830177196,188642.42830177196,0.3092517644424162,0.0,0.3092517644424162
high,2028,611734.1083132254,0.0,146496.99789068179,146496.99789068179,0.23947822411705563,0.0,0.23947822411705563
high,2029,609996.2877880293,0.0,113305.3024568017,113305.3024568017,0.1857475278540953,0.0,0.1857475278540953
high,2030,609996.2877880293,0.0,102553.6478444653,102553.6478444653,0.16812175729191026,0.0,0.16812175729191026
high,2031,609996.2877880293,6618.2345454640545,108600.12916313158,115218.36370859572,0.18888371292619002,0.010849630855071462,0.17803408207111843
high,2032,611734.1083132254,7584.911566733127,131185.61657620463,138770.52814293743,0.22684778608402023,0.012399033278767962,0.2144487528052528
high,2033,609996.2877880293,6416.377571263725,153546.4535908984,159962.831162162,0.2622357453062867,0.010518715768797244,0.25171702953748964
high,2034,609996.2877880293,6841.266590112911,189792.3053267834,196633.5719168963,0.32235207960023765,0.011215259382841061,0.3111368202173966
high,2035,609996.2877880293,3972.733973224118,219337.83827862612,223310.57225185033,0.3660851331761705,0.006512718278385038,0.3595724148977853
